,Location,Average Salary by Location,Occupation,Average Salary for Each Occupation by Location,Average National Salary for Each Occupation,Entropy of labor of Each Occupation by location
746,"Frankford, Belair-Edison & Loch Raven PUMA, MD",39021.770445624636,Nuclear medicine technologists and medical dosimetrists,202619.41176470587,132946.1370184876,4.927196535694138
2195,"Tulsa City (West) PUMA, OK",39008.566009366754,Computer & information systems managers,167221.94736842104,102527.2721576413,5.207230262766294
338,"Cedar Hill & Duncanville Cities PUMA, TX",39000.25324702573,"Miscellaneous first-line supervisors, protective service workers",158043.14285714287,56702.29217997607,4.880935549788458
109,"Barberton, Green & New Franklin Cities PUMA, OH",38939.36715864858,Chief executives & legislators,267908.1506682868,141283.83645852594,4.942926987989558
853,"Greeley, Windsor & Evans Cities PUMA, CO",38930.5325479801,Aircraft pilots & flight engineers,315938.7378640777,115613.87787785068,5.344585620099975
1926,"Santa Paula, Fillmore & Ojai Cities PUMA, CA",38874.62799932824,Firefighters,228739.68260869564,60741.10529640623,5.024260846593484
1381,"Midwest, Del & Oklahoma City (Northeast) Cities PUMA, OK",38864.4895216813,Aircraft pilots & flight engineers,418409.064516129,115613.87787785068,4.7281250732244535
871,"Gregg CountyLongview City PUMA, TX",38858.76142564072,Other teachers and instructors,251653.3076923077,27488.37442010176,5.024840860187029
265,"Burke & McDowell Counties PUMA, NC",38839.18940455783,Surgeons,418409.0491803279,282720.32402206364,4.838241816266688
411,"Clay County PUMA, FL",38836.8093154903,Physicians,227946.82269503543,206831.79290917717,5.125359787101658
267,"Burlington City PUMA, NC",38831.29016613787,Bus & truck mechanics & diesel engine specialists,281319.2843601896,38950.83047134692,5.286703913686664
2133,"Tamiami Trail Region (South)Tamiami PUMA, FL",38811.028819969986,Broadcast announcers and radio disc jockeys,202619.41379310345,47494.13361466179,4.9233735342086185
2148,"Terrebonne Parish PUMA, LA",38809.75041931505,Physicians,393081.6307692308,206831.79290917717,4.592215197157738
979,"Huber Heights, Trotwood, Vandalia & Englewood Cities PUMA, OH",38808.88164323363,Physicians,161423.6269430052,206831.79290917717,5.031954794205139
1833,"Rock Island County PUMA, IL",38797.545768182325,Compliance officers,360431.918699187,68567.09218929497,5.134140567836352
1153,"La Crosse County PUMA, WI",38794.10733166251,Physicians,359800.114481409,206831.79290917717,4.891218654542816
1609,"Orem, Pleasant Grove, American Fork & Lindon Cities PUMA, UT",38793.028784869864,Radiologic technologists and technicians,425500.7391304348,56736.64149052558,5.158962452209962
